countryname	ISOalpha3	ISO3digit	WBcode
Afghanistan	AFG	4	AFG
Akrotiri and Dhekelia	XAD	997	XAD
Åland Islands	ALA	248	ALA
Albania	ALB	8	ALB
Algeria	DZA	12	DZA
American Samoa	ASM	16	ASM
Andorra	AND	20	ADO
Angola	AGO	24	AGO
Anguilla	AIA	660	AIA
Antarctica	ATA	10	ATA
Antigua and Barbuda	ATG	28	ATG
Argentina	ARG	32	ARG
Armenia	ARM	51	ARM
Aruba	ABW	533	ABW
Australia	AUS	36	AUS
Austria	AUT	40	AUT
Azerbaijan	AZE	31	AZE
Bahamas	BHS	44	BHS
Bahrain	BHR	48	BHR
Bangladesh	BGD	50	BGD
Barbados	BRB	52	BRB
Belarus	BLR	112	BLR
Belgium	BEL	56	BEL
Belize	BLZ	84	BLZ
Benin	BEN	204	BEN
Bermuda	BMU	60	BMU
Bhutan	BTN	64	BTN
Bolivia (Plurinational State of)	BOL	68	BOL
"Bonaire, Sint Eustatius and Saba"	BES	535	BES
Bosnia and Herzegovina	BIH	70	BIH
Botswana	BWA	72	BWA
Bouvet Island	BVT	74	BVT
Brazil	BRA	76	BRA
British Indian Ocean Territory	IOT	86	IOT
Brunei Darussalam	BRN	96	BRN
Bulgaria	BGR	100	BGR
Burkina Faso	BFA	854	BFA
Burundi	BDI	108	BDI
Cambodia	KHM	116	KHM
Cameroon	CMR	120	CMR
Canada	CAN	124	CAN
Cabo Verde	CPV	132	CPV
Caspian Sea	XCA	995	XCA
Cayman Islands	CYM	136	CYM
Central African Republic	CAF	140	CAF
Chad	TCD	148	TCD
Chile	CHL	152	CHL
China	CHN	156	CHN
Christmas Island	CXR	162	CXR
Cocos (Keeling) Islands	CCK	166	CCK
Colombia	COL	170	COL
Comoros	COM	174	COM
Congo	COG	178	COG
Congo (Democratic Republic of the)	COD	180	ZAR
Cook Islands	COK	184	COK
Costa Rica	CRI	188	CRI
Côte d'Ivoire	CIV	384	CIV
Croatia	HRV	191	HRV
Cuba	CUB	192	CUB
Curaçao	CUW	531	CUW
Cyprus	CYP	196	CYP
Czech Republic	CZE	203	CZE
Denmark	DNK	208	DNK
Djibouti	DJI	262	DJI
Dominica	DMA	212	DMA
Dominican Republic	DOM	214	DOM
Ecuador	ECU	218	ECU
Egypt	EGY	818	EGY
El Salvador	SLV	222	SLV
Equatorial Guinea	GNQ	226	GNQ
Eritrea	ERI	232	ERI
Estonia	EST	233	EST
Ethiopia	ETH	231	ETH
Falkland Islands (Malvinas)	FLK	238	FLK
Faroe Islands	FRO	234	FRO
Fiji	FJI	242	FJI
Finland	FIN	246	FIN
France	FRA	250	FRA
French Guiana	GUF	254	GUF
French Polynesia	PYF	258	PYF
French Southern Territories	ATF	260	ATF
Gabon	GAB	266	GAB
Gambia	GMB	270	GMB
Georgia	GEO	268	GEO
Germany	DEU	276	DEU
Ghana	GHA	288	GHA
Gibraltar	GIB	292	GIB
Greece	GRC	300	GRC
Greenland	GRL	304	GRL
Grenada	GRD	308	GRD
Guadeloupe	GLP	312	GLP
Guam	GUM	316	GUM
Guatemala	GTM	320	GTM
Guernsey	GGY	831	GGY
Guinea	GIN	324	GIN
Guinea-Bissau	GNB	624	GNB
Guyana	GUY	328	GUY
Haiti	HTI	332	HTI
Heard Island and McDonald Islands	HMD	334	HMD
Holy See	VAT	336	VAT
Honduras	HND	340	HND
Hong Kong	HKG	344	HKG
Hungary	HUN	348	HUN
Iceland	ISL	352	ISL
India	IND	356	IND
Indonesia	IDN	360	IDN
Iran (Islamic Republic of)	IRN	364	IRN
Iraq	IRQ	368	IRQ
Ireland	IRL	372	IRL
Isle of Man	IMN	833	IMY
Israel	ISR	376	ISR
Italy	ITA	380	ITA
Jamaica	JAM	388	JAM
Japan	JPN	392	JPN
Jersey	JEY	832	JEY
Jordan	JOR	400	JOR
Kazakhstan	KAZ	398	KAZ
Kenya	KEN	404	KEN
Kiribati	KIR	296	KIR
Korea (Democratic People's Republic of)	PRK	408	PRK
Korea (Republic of)	KOR	410	KOR
Kosovo	XKO	994	KSV
Kuwait	KWT	414	KWT
Kyrgyzstan	KGZ	417	KGZ
Lao People's Democratic Republic	LAO	418	LAO
Latvia	LVA	428	LVA
Lebanon	LBN	422	LBN
Lesotho	LSO	426	LSO
Liberia	LBR	430	LBR
Libya	LBY	434	LBY
Liechtenstein	LIE	438	LIE
Lithuania	LTU	440	LTU
Luxembourg	LUX	442	LUX
Macao	MAC	446	MAC
Macedonia (the former Yugoslav Republic of)	MKD	807	MKD
Madagascar	MDG	450	MDG
Malawi	MWI	454	MWI
Malaysia	MYS	458	MYS
Maldives	MDV	462	MDV
Mali	MLI	466	MLI
Malta	MLT	470	MLT
Marshall Islands	MHL	584	MHL
Martinique	MTQ	474	MTQ
Mauritania	MRT	478	MRT
Mauritius	MUS	480	MUS
Mayotte	MYT	175	MYT
Mexico	MEX	484	MEX
Micronesia (Federated States of)	FSM	583	FSM
Moldova (Republic of)	MDA	498	MDA
Monaco	MCO	492	MCO
Mongolia	MNG	496	MNG
Montenegro	MNE	499	MNE
Montserrat	MSR	500	MSR
Morocco	MAR	504	MAR
Mozambique	MOZ	508	MOZ
Myanmar	MMR	104	MMR
Namibia	NAM	516	NAM
Nauru	NRU	520	NRU
Nepal	NPL	524	NPL
Netherlands	NLD	528	NLD
Netherlands Antilles	ANT	530	ANT
New Caledonia	NCL	540	NCL
New Zealand	NZL	554	NZL
Nicaragua	NIC	558	NIC
Niger	NER	562	NER
Nigeria	NGA	566	NGA
Niue	NIU	570	NIU
Norfolk Island	NFK	574	NFK
Northern Cyprus	XNC	996	XNC
Northern Mariana Islands	MNP	580	MNP
Norway	NOR	578	NOR
Oman	OMN	512	OMN
Pakistan	PAK	586	PAK
Palau	PLW	585	PLW
"Palestine, State of"	PSE	275	WBG
Panama	PAN	591	PAN
Papua New Guinea	PNG	598	PNG
Paracel Islands	PIS	998	PIS
Paraguay	PRY	600	PRY
Peru	PER	604	PER
Philippines	PHL	608	PHL
Pitcairn	PCN	612	PCN
Poland	POL	616	POL
Portugal	PRT	620	PRT
Puerto Rico	PRI	630	PRI
Qatar	QAT	634	QAT
Réunion	REU	638	REU
Romania	ROU	642	ROM
Russian Federation	RUS	643	RUS
Rwanda	RWA	646	RWA
Saint Barthélemy	BLM	652	BLM
"Saint Helena, Ascension and Tristan da Cunha"	SHN	654	SHN
Saint Kitts and Nevis	KNA	659	KNA
Saint Lucia	LCA	662	LCA
Saint Martin (French part)	MAF	663	MAF
Saint Pierre and Miquelon	SPM	666	SPM
Saint Vincent and the Grenadines	VCT	670	VCT
Samoa	WSM	882	WSM
San Marino	SMR	674	SMR
Sao Tome and Principe	STP	678	STP
Saudi Arabia	SAU	682	SAU
Senegal	SEN	686	SEN
Serbia	SRB	688	SRB
Seychelles	SYC	690	SYC
Sierra Leone	SLE	694	SLE
Singapore	SGP	702	SGP
Sint Maarten (Dutch part)	SXM	534	SXM
Slovakia	SVK	703	SVK
Slovenia	SVN	705	SVN
Solomon Islands	SLB	90	SLB
Somalia	SOM	706	SOM
South Africa	ZAF	710	ZAF
South Georgia and the South Sandwich Islands	SGS	239	SGS
South Sudan	SSD	728	SSD
Spain	ESP	724	ESP
Spratly Islands	XSP	999	XSP
Sri Lanka	LKA	144	LKA
Sudan	SDN	729	SDN
Suriname	SUR	740	SUR
Svalbard and Jan Mayen	SJM	744	SJM
Swaziland	SWZ	748	SWZ
Sweden	SWE	752	SWE
Switzerland	CHE	756	CHE
Syrian Arab Republic	SYR	760	SYR
"Taiwan, Province of China"	TWN	158	TWN
Tajikistan	TJK	762	TJK
"Tanzania, United Republic of"	TZA	834	TZA
Thailand	THA	764	THA
Timor-Leste	TLS	626	TMP
Togo	TGO	768	TGO
Tokelau	TKL	772	TKL
Tonga	TON	776	TON
Trinidad and Tobago	TTO	780	TTO
Tunisia	TUN	788	TUN
Turkey	TUR	792	TUR
Turkmenistan	TKM	795	TKM
Turks and Caicos Islands	TCA	796	TCA
Tuvalu	TUV	798	TUV
Uganda	UGA	800	UGA
Ukraine	UKR	804	UKR
United Arab Emirates	ARE	784	ARE
United Kingdom of Great Britain and Northern Ireland	GBR	826	GBR
United States of America	USA	840	USA
United States Minor Outlying Islands	UMI	581	UMI
Uruguay	URY	858	URY
Uzbekistan	UZB	860	UZB
Vanuatu	VUT	548	VUT
